Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
"Madurai Famous Jigarthanda LLP - Since 1977 Chengalpattu, Tamil Nadu",12.5268336,80.0087746,Ice Cream,3.7,12,"Chengalpattu, Tamil Nadu",098948 57793,Delivery
"Madurai Famous Jigarthanda LLP - Since 1977 Guduvancheri, Tamil Nadu",9.9252007,78.1197754,Ice Cream,1.6,34,"Guduvancheri, Tamil Nadu",093845 85463,"Dine-in,Drive-through"
"Kishkinta Dresses Chennai, Tamil Nadu",12.9265967,80.1155472,Dress store,3.9,1100,"Chennai, Tamil Nadu",044 2226 2877,Delivery
"Old Curiosity Shop Chennai, Tamil Nadu",13.0617314,80.2628819,Antique store,4.5,184,"Chennai, Tamil Nadu",,
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.3,28,"Chennai, Tamil Nadu",094440 52320,"In-store shopping,Delivery"
"Saravana Stores Gold Palace and Textiles Chennai, Tamil Nadu",13.0374665,80.2280357,Clothing store,3.9,8400,"Chennai, Tamil Nadu",044 2431 4242,Delivery
"Bharatham Stores Chennai, Tamil Nadu",12.9231275,80.1185725,Furniture store,4,2300,"Chennai, Tamil Nadu",094450 25676,
"Tamilnadu Shopping Coimbatore, Tamil Nadu",11.0521164,76.9577829,E-commerce service,4.7,32,"Coimbatore, Tamil Nadu",083057 83057,Delivery
"Madurai Famous Jigarthanda Egattur, Tamil Nadu",12.8359213,80.2297784,Ice Cream,3.8,15,"Egattur, Tamil Nadu",098421 16684,"Dine-in,Takeaway"
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.5,12,"Chennai, Tamil Nadu",075063 74003,"Dine-in,Drive-through"
"FOUNTAIN PLAZA Chennai, Tamil Nadu",13.0682016,80.2562557,Shopping mall,3.9,1700,"Chennai, Tamil Nadu",098842 79185,On-site services
"Madurai Famous Jigarthanda LLP - Since 1977 Singaperumal Koil, Tamil Nadu",9.9252007,78.1197754,Ice Cream,5,2,"Singaperumal Koil, Tamil Nadu",063745 98260,"Dine-in,Drive-through"
"Balasubramanian Enterprises Pvt. Ltd. Chennai, Tamil Nadu",12.9849835,80.1885331,Shopping mall,4.1,988,"Chennai, Tamil Nadu",094450 00001,
"Fantastic Jeyachandran Chennai, Tamil Nadu",12.9213919,80.1975877,Clothing store,4,32000,"Chennai, Tamil Nadu",099412 72727,
"Grand Square Chennai, Tamil Nadu",12.9719724,80.2203988,Shopping mall,4,38000,"Chennai, Tamil Nadu",1800 4253 1111,
"Brookefields Mall Coimbatore, Tamil Nadu",11.0092555,76.9590555,Shopping mall,4.4,83000,"Coimbatore, Tamil Nadu",,
"Famous Jigarthanda Rajakilpakkam, Tamil Nadu",12.9228636,80.1528835,Coffee shop,3.4,23,"Rajakilpakkam, Tamil Nadu",098421 16684,"Dine-in,Takeaway"
"Madurai city famous jigarthanda.. Chennai, Tamil Nadu",13.0641665,80.2143413,Ice Cream,3.6,15,"Chennai, Tamil Nadu",,Delivery
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.3,3,"Chennai, Tamil Nadu",090479 88767,"Dine-in,Drive-through"
